urls;c1;c2;c3
https://howmuch.net/cost-of-living/ny/new-york;IGV;IGV;
https://urban.jrc.ec.europa.eu/trends?lng=en&ctx=ardeco&ts=ARDECO&pil=indicator-level&is=ARDECO;IGV;IGV;
https://data.unhcr.org/en/country/uga;IGV;IGV;
https://pbpmaps.carto.com/builder/45180c5a-29d4-11e7-8c77-0e05a8b3e3d7/embed;IGV;IGV;
https://www.google.com/maps;IGV;IGV;
https://www.bing.com/maps;IGV;IGV;
https://www.maptiler.com/maps/3d/#10.7466/46.7681/11992/270/-20;IGV;noIV;IGV
https://vaccinevisualizer.com/;IGV;IGV;
https://public.tableau.com/app/profile/sat.covid.dashboard/viz/SATCOVIDDashboard/1-dash-tiles;IV;IV;
https://upload.wikimedia.org/wikipedia/commons/6/65/Cognitive_bias_codex_en.svg;IV;noIV;IV
https://www.innerbody.com/image/cardov.html;IV;IGV;IV
https://www.federalreserve.gov/releases/z1/dataviz/dfa/compare/chart/;IV;IV;
https://formidable.com/open-source/victory/gallery/brush-and-zoom;IV;IV;
https://canvasjs.com/javascript-charts/synchronized-charts/;IV;IV;
https://www.highcharts.com/demo/spline-inverted;IV;IV;
https://apexcharts.com/angular-chart-demos/box-whisker-charts/boxplot-scatter/;IV;IV;
https://www.dwitter.net/;IV;IV;
https://mynoise.net/;noIV;noIV;
https://www.google.de/;noIV;noIV;
https://twitter.com/;IV;noIV;noIV
https://duckduckgo.com/;noIV;noIV;
https://www.ebay.de/;IV;noIV;noIV
https://www.youtube.com/;IV;noIV;noIV
https://www.esa.int/;noIV;IV;noIV
